date,action,price,units,fee,test_year,ma_short,ma_long
2020-02-14,BUY,52.04999923706055,1919.308385481577,100.0,2020,40,120
2020-02-19,SELL,53.290000915527344,1919.308385481577,102.27994561949255,2020,40,120
2020-09-17,BUY,40.970001220703125,2491.469000899565,102.17766567387305,2020,40,120
2020-09-29,SELL,39.290000915527344,2491.469000899565,97.88981932635191,2020,40,120
2021-08-24,BUY,67.54000091552734,1446.4633736044086,97.79192950702556,2021,40,100
2021-09-13,SELL,70.44999694824219,1446.4633736044086,101.90334025617469,2021,40,100
2021-12-07,BUY,72.05000305175781,1411.5146588674768,101.80143691591852,2021,40,100
2022-06-27,BUY,109.56999969482422,967.9096146785076,106.16001620114265,2022,40,100
2022-08-03,SELL,90.66000366210938,967.9096146785076,87.75068921134438,2022,40,100
2023-10-10,BUY,85.97000122070312,1018.6724943598256,87.66293852213303,2023,40,100
2023-11-27,SELL,74.86000061035156,1018.6724943598256,76.2578235495249,2023,40,100
2024-05-09,BUY,79.26000213623047,960.1991182064444,76.18156572597536,2024,40,100
2024-06-12,SELL,78.5,960.1991182064444,75.37563077920588,2024,40,100
