date,action,price,units,fee,test_year,ma_short,ma_long
2020-03-18,BUY,1477.300048828125,67.62336471811948,100.0,2020,40,50
2020-04-08,SELL,1665.4000244140625,67.62336471811948,112.61995325251723,2020,40,50
2021-01-28,BUY,1837.9000244140625,61.15393899175655,112.5073332992647,2021,40,50
2021-02-19,SELL,1775.800048828125,61.15393899175655,108.59716784759347,2021,40,50
2021-07-07,BUY,1801.5,60.16102254180745,108.48857067974588,2021,40,50
2021-07-12,SELL,1805.5,60.16102254180745,108.62072619923336,2021,40,50
2021-12-14,BUY,1770.4000244140625,61.23112961627906,108.51210547303411,2021,40,50
2022-05-16,BUY,1813.5,61.64212268231389,111.89988937374999,2022,40,150
2022-06-16,SELL,1845.699951171875,61.64212268231389,113.77286282487748,2022,40,150
2023-03-01,BUY,1837.699951171875,61.78670832509097,113.6590899620526,2023,40,150
2023-03-16,SELL,1919.0,61.78670832509097,118.56869327584957,2023,40,150
2023-06-02,BUY,1952.4000244140625,60.60831437118212,118.45012458257372,2023,40,150
2023-07-14,SELL,1960.0999755859373,60.60831437118212,118.79835551925889,2023,40,150
2024-11-21,BUY,2672.10009765625,44.36992375793403,118.67955716373962,2024,40,150
