asset,train_start,train_end,test_year,ma_short,ma_long,train_sharpe,train_return,train_trades,test_sharpe,test_return,test_trades
gold,2016-01-01,2019-12-31,2020,40,50,0.9417,12.9,8,0.9018,9.17,1
gold,2016-01-01,2020-12-31,2021,40,50,0.7948,23.26,9,1.1688,3.25,1
gold,2016-01-01,2021-12-31,2022,40,150,0.7329,26.13,10,,,0
gold,2016-01-01,2022-12-31,2023,40,150,0.6648,26.68,11,,,0
gold,2016-01-01,2023-12-31,2024,40,150,0.6856,32.18,13,-0.0939,-0.72,0
crude,2016-01-01,2019-12-31,2020,40,120,0.8263,48.28,7,0.2378,1.1,1
crude,2016-01-01,2020-12-31,2021,40,100,0.7792,52.98,9,1.3599,14.96,1
crude,2016-01-01,2021-12-31,2022,40,100,0.8677,75.87,10,-0.6672,-12.27,1
crude,2016-01-01,2022-12-31,2023,40,100,0.568,56.08,12,-0.8792,-12.55,1
crude,2016-01-01,2023-12-31,2024,40,100,0.3681,36.5,13,,,0
sp500,2016-01-01,2019-12-31,2020,10,80,0.9689,14.66,9,2.5432,15.89,2
sp500,2016-01-01,2020-12-31,2021,10,80,1.3889,32.88,11,-0.2877,-0.88,1
sp500,2016-01-01,2021-12-31,2022,10,80,1.1738,31.71,12,-0.2701,-0.75,1
sp500,2016-01-01,2022-12-31,2023,10,80,1.0212,30.72,13,-0.4023,-1.54,1
sp500,2016-01-01,2023-12-31,2024,10,120,0.8007,38.36,15,1.9014,7.53,1
